" Order Date ","Region Name","STATE","Category-Type","Customer ID","Sales($)","Profit Margin"
"Nov 8, 2024","Central","Missouri","Office Supplies","C1024","936","192.92"
"Nov 11, 2024","West","Nevada","Technology","C1025","956.25","57"
"","East",""," Furniture ","C1026","976.5","112.3"
"Nov 17, 2024","South","Georgia","Office Supplies","C1027","54","1.6"
"Nov 20, 2024","North","Ohio","Technology","C1028","74.25","0.74"
"Nov 23, 2024","Central","Nebraska","Furniture","C1029","94.5","1.29"
"Jan 1, 2024"," West","California","","C1030","114.75",
"Jan 4, 2024","East","Massachusetts ","Technology"," C1031 ","135","9.02"
"2024-01-07","South","Tennessee","Furniture","C1032","155.25","10.29"
"Jan 10, 2024","North","Minnesota","Office Supplies","C1033","175.5","12.97"
"01/13/2024","Central","Colorado","Technology","C1034",,"38.06"
"Jan 16, 2024","West","Washington"," Furniture ","C1035","193.25","8.96"
"Jan 19, 2024","East","Florida","Office Supplies","C1036","213.5","11.55"
"Jan 22, 2024","South","Louisiana","Technology","C1037","233.75","15.56"
"2024-01-25","North","Illinois","Furniture","C1038","254","46.99"
"Jan 28, 2024","Central","Kansas","Office Supplies","C1039","274.25","53.84"
"Jan 31, 2024","West","Oregon","Technology","C1040","294.5",
"Feb 3, 2024"," East","Virginia","Furniture","C1041","292","14.08"
"02/06/2024","South","Texas","Office Supplies","C1042","312.25","46.84"
"Feb 9, 2024","North","Michigan","Technology","C1043","332.5","55.01"
"2024-02-12","Central",""," Furniture ","C1044","352.75","64.6"
"Feb 15, 2024","West","Nevada","Office Supplies","C1045","373","10.34"
"Feb 18, 2024","East","New York","Technology","C1046","393.25","45.22"
"Feb 21, 2024","South","Georgia","Furniture","C1047","413.5","55.53"
"Feb 24, 2024","North","Ohio","Office Supplies"," C1048 ",,"63.04"
"Feb 27, 2024","Central","Nebraska","Technology","C1049","431.25","75.38"
"03/01/2024","West","California","Furniture","C1050","451.5",
"Mar 4, 2024","East","Massachusetts","Office Supplies","C1051","471.75","47.75"
"Mar 7, 2024"," South","Tennessee","","C1052","492","60.8"
"","North","Minnesota"," Furniture ","C1053","512.25","75.27"
"Mar 13, 2024","Central","Colorado","Office Supplies","C1054","532.5","117.15"
"Mar 16, 2024","West","Washington","Technology","C1055","530","35.9"
"2024-03-19","East","Florida","Furniture","C1056","550.25","50.28"
"Mar 22, 2024","South","Louisiana ","Office Supplies","C1057","570.5","66.08"
"03/25/2024","North","Illinois","Technology","C1058","590.75","109.29"
"Mar 28, 2024","Central","Kansas","Furniture","C1059","611","127.92"
"Mar 31, 2024","West","Oregon","Office Supplies","C1060","631.25",
"Apr 3, 2024","East","Virginia","Technology","C1061","651.5","55.42"
"2024-04-06","South",""," Furniture ","C1062",,"97.35"
"Apr 9, 2024"," North","Michigan","Office Supplies","C1063","669.25","117.31"
"Apr 12, 2024","Central","Missouri","Technology","C1064","689.5","138.69"
"Apr 15, 2024","West","Nevada","Furniture"," C1065 ","709.75","37.28"
"04/18/2024","East","New York","Office Supplies","C1066","730","83.95"
"Apr 21, 2024","South","Georgia","Technology","C1067","750.25","106.04"
"2024-04-24","North","Ohio","Furniture","C1068","770.5","129.54"
"Apr 27, 2024","Central","Nebraska","Office Supplies","C1069","768","149.46"
"Apr 30, 2024","West","California ","Technology","C1070","788.25",
"May 3, 2024","East","Massachusetts"," Furniture ","C1071","808.5","86.48"
"May 6, 2024","South","Tennessee","Office Supplies","C1072","828.75","111.31"
"May 9, 2024","North","Minnesota","Technology","C1073","849","137.56"
"05/12/2024"," Central","Colorado","","C1074","869.25","191.24"
"May 15, 2024","West","Washington","Office Supplies","C1075","889.5","64.66"
"May 18, 2024","East","Florida","Technology","C1076",,"89.01"
"May 21, 2024","South","Louisiana","Furniture","C1077","907.25","116.59"
"May 24, 2024","North","Illinois","Office Supplies","C1078","927.5","171.59"
"May 27, 2024","Central","Kansas","Technology","C1079","947.75","202.01"
"","West",""," Furniture ","C1080","968",
"Jun 2, 2024","East","Virginia","Office Supplies","C1081","68.25","-11.65"
"06/05/2024","South","Texas","Technology"," C1082 ","88.5","13.28"
"Jun 8, 2024","North","Michigan ","Furniture","C1083","86","9.41"
"Jun 11, 2024","Central","Missouri","Office Supplies","C1084","106.25","10.38"
"Jun 14, 2024"," West","Nevada","Technology","C1085","126.5","-9.38"
"2024-06-17","East","New York","Furniture","C1086","146.75","16.88"
"Jun 20, 2024","South","Georgia","Office Supplies","C1087","167","18.55"
"Jun 23, 2024","North","Ohio","Technology","C1088","187.25","21.64"
"Jun 26, 2024","Central","Nebraska"," Furniture ","C1089","207.5","26.15"
"06/29/2024","West","California","Office Supplies","C1090",,
"Jul 2, 2024","East","Massachusetts","Technology","C1091","225.25","19.4"
"2024-07-05","South","Tennessee","Furniture","C1092","245.5","23.83"
"Jul 8, 2024","North","Minnesota","Office Supplies","C1093","265.75","29.66"
"Jul 11, 2024","Central","Colorado","Technology","C1094","286","62.92"
"Jul 14, 2024","West","Washington","Furniture","C1000","306.25","18"
"Jul 17, 2024"," East","Florida ","","C1001","326.5","24.55"
"Jul 20, 2024","South","Louisiana","Technology","C1002","324","29.1"
"07/23/2024","North",""," Furniture ","C1003","344.25","63.69"
"Jul 26, 2024","Central","Kansas","Office Supplies"," C1004 ","364.5","73.69"
"Jul 29, 2024","West","Oregon","Technology","C1005","384.75",
"Aug 1, 2024","East","Virginia","Furniture","C1006","405","27.08"
"Aug 4, 2024","South","Texas","Office Supplies","C1007","425.25","63.79"
"Aug 7, 2024","North","Michigan","Technology","C1008","445.5","75.92"
"2024-08-10","Central","Missouri","Furniture","C1009",,"84.46"
"Aug 13, 2024","West","Nevada","Office Supplies","C1010","463.25","17.56"
"08/16/2024","East","New York","Technology","C1011","483.5","55.6"
""," South","Georgia"," Furniture ","C1012","503.75","69.06"
"Aug 22, 2024","North","Ohio","Office Supplies","C1013","524","83.94"
"Aug 25, 2024","Central","Nebraska ","Technology","C1014","544.25","100.24"
"2024-08-28","West","California","Furniture","C1015","564.5",
"Aug 31, 2024","East","Massachusetts","Office Supplies","C1016","562","58.13"
"Sep 3, 2024","South","Tennessee","Technology","C1017","582.25","74.34"
"Sep 6, 2024","North","Minnesota","Furniture","C1018","602.5","91.96"
"09/09/2024","Central","Colorado","Office Supplies","C1019","622.75","137.01"
"Sep 12, 2024","West","Washington","Technology","C1020","643","44.94"
"2024-09-15","East",""," Furniture "," C1021 ","663.25","63.27"
"Sep 18, 2024","South","Louisiana","Office Supplies","C1022","683.5","83.03"
"Sep 21, 2024"," North","Illinois","","C1023",,"125.98"
"Sep 24, 2024","Central","Kansas","Furniture","C1024","701.25","147.78"
"Sep 27, 2024","West","Oregon","Office Supplies","C1025","721.5",
"Sep 30, 2024","East","Virginia","Technology","C1026","741.75","65.8"
"10/03/2024","South","Texas ","Furniture","C1027","762","114.3"
"Oct 6, 2024","North","Michigan","Office Supplies","C1028","782.25","138.22"
"Oct 9, 2024","Central","Missouri","Technology","C1029","802.5","163.55"
"Oct 12, 2024","West","Nevada"," Furniture ","C1030","800","44.5"
"Oct 15, 2024","East","New York","Office Supplies","C1031","820.25","94.33"
"Oct 18, 2024","South","Georgia","Technology","C1032","840.5","119.58"
"2024-10-21","North","Ohio","Furniture","C1033","860.75","146.24"
"Oct 24, 2024"," Central","Nebraska","Office Supplies","C1034","881","174.32"
"10/27/2024","West","California","Technology","C1035","901.25",
"Oct 30, 2024","East","Massachusetts","Furniture","C1036","921.5","99.47"
"Nov 2, 2024","South","Tennessee","Office Supplies","C1037",,"124.85"
"Nov 5, 2024","North","Minnesota","Technology"," C1038 ","939.25","154.26"
"","Central",""," Furniture ","C1039","959.5","211.09"
"Nov 11, 2024","West","Washington ","Office Supplies","C1040","59.75","-1.72"
"Nov 14, 2024","East","Florida","Technology","C1041","80","-3.8"
"Nov 17, 2024","South","Louisiana","Furniture","C1042","100.25","-4.46"
"11/20/2024","North","Illinois","Office Supplies","C1043","120.5","22.29"
"Nov 23, 2024","Central","Kansas","Technology","C1044","118","19.46"
"2024-01-01"," West","Oregon","","C1045","138.25",
"Jan 4, 2024","East","Virginia","Office Supplies","C1046","158.5","-1.27"
"Jan 7, 2024","South","Texas","Technology","C1047","178.75","26.81"
"Jan 10, 2024","North","Michigan"," Furniture ","C1048","199","30.32"
"Jan 13, 2024","Central","Missouri","Office Supplies","C1049","219.25","35.24"
"Jan 16, 2024","West","Nevada","Technology","C1050","239.5","-0.34"
"01/19/2024","East","New York","Furniture","C1051",,"27.26"
"Jan 22, 2024","South","Georgia","Office Supplies","C1052","257.25","32.09"
"Jan 25, 2024","North","Ohio ","Technology","C1053","277.5","38.34"
"Jan 28, 2024","Central","Nebraska","Furniture","C1054","297.75","46.01"
"Jan 31, 2024","West","California","Office Supplies"," C1055 ","318",
"Feb 3, 2024"," East","Massachusetts","Technology","C1056","338.25","32.4"
"2024-02-06","South",""," Furniture ","C1057","358.5","40.78"
"Feb 9, 2024","North","Minnesota","Office Supplies","C1058","356","46.36"
"02/12/2024","Central","Colorado","Technology","C1059","376.25","82.78"
"Feb 15, 2024","West","Washington","Furniture","C1060","396.5","25.22"
"Feb 18, 2024","East","Florida","Office Supplies","C1061","416.75","34.93"
"Feb 21, 2024","South","Louisiana","Technology","C1062","437","46.05"
"2024-02-24","North","Illinois","Furniture","C1063","457.25","84.59"
"Feb 27, 2024","Central","Kansas","Office Supplies","C1064","477.5","98.55"
"Mar 1, 2024","West","Oregon","Technology","C1065",,
"","East","Virginia "," Furniture ","C1066","495.25","37.45"
"03/07/2024"," South","Texas","","C1067","515.5","77.33"
"Mar 10, 2024","North","Michigan","Technology","C1068","535.75","92.61"
"2024-03-13","Central","Missouri","Furniture","C1069","556","109.32"
"Mar 16, 2024","West","Nevada","Office Supplies","C1070","576.25","26.6"
"Mar 19, 2024","East","New York","Technology","C1071","596.5","68.6"
"Mar 22, 2024","South","Georgia","Furniture"," C1072 ","594","82.6"
"Mar 25, 2024","North","Ohio","Office Supplies","C1073","614.25","100.64"
"Mar 28, 2024","Central","Nebraska","Technology","C1074","634.5","120.09"
"03/31/2024","West",""," Furniture ","C1075","654.75",
"Apr 3, 2024","East","Massachusetts","Office Supplies","C1076","675","71.12"
"Apr 6, 2024","South","Tennessee","Technology","C1077","695.25","91.29"
"Apr 9, 2024"," North","Minnesota","Furniture","C1078","715.5","112.87"
"Apr 12, 2024","Central","Colorado ","Office Supplies","C1079",,"156.86"
"Apr 15, 2024","West","Washington","Technology","C1080","733.25","52.16"
"2024-04-18","East","Florida","Furniture","C1081","753.5","73.65"
"Apr 21, 2024","South","Louisiana","Office Supplies","C1082","773.75","96.56"
"04/24/2024","North","Illinois","Technology","C1083","794","146.89"
"Apr 27, 2024","Central","Kansas"," Furniture ","C1084","814.25","172.64"
"Apr 30, 2024","West","Oregon","Office Supplies","C1085","834.5",
"May 3, 2024","East","Virginia","Technology","C1086","832","76.18"
"2024-05-06","South","Texas","Furniture","C1087","852.25","127.84"
"May 9, 2024","North","Michigan","Office Supplies","C1088","872.5","154.91"
"May 12, 2024"," Central","Missouri",""," C1089 ","892.75","183.41"
"May 15, 2024","West","Nevada","Furniture","C1090","913","53.54"
"05/18/2024","East","New York","Office Supplies","C1091","933.25","107.32"
"May 21, 2024","South","Georgia ","Technology","C1092","953.5","136.53"
"","North",""," Furniture ","C1093",,"162.94"
"May 27, 2024","Central","Nebraska","Office Supplies","C1094","51.25","-8.22"
"May 30, 2024","West","California","Technology","C1000","71.5",
"Jun 2, 2024","East","Massachusetts","Furniture","C1001","91.75","4.05"
"Jun 5, 2024","South","Tennessee","Office Supplies","C1002","112","3.8"
"Jun 8, 2024","North","Minnesota","Technology","C1003","132.25","4.97"
"06/11/2024","Central","Colorado","Furniture","C1004","152.5","33.55"
"Jun 14, 2024"," West","Washington","Office Supplies","C1005","150","5.5"
"Jun 17, 2024","East","Florida","Technology","C1006","170.25","6.58"
"Jun 20, 2024","South","Louisiana"," Furniture ","C1007","190.5","9.08"
"Jun 23, 2024","North","Illinois","Office Supplies","C1008","210.75","38.99"
"Jun 26, 2024","Central","Kansas","Technology","C1009","231","44.32"
"2024-06-29","West","Oregon ","Furniture","C1010","251.25",
"Jul 2, 2024","East","Virginia","Office Supplies"," C1011 ","271.5","11.72"
"07/05/2024","South","Texas","Technology","C1012",,"40.35"
"Jul 8, 2024","North","Michigan","Furniture","C1013","289.25","47.01"
"Jul 11, 2024","Central","Missouri","Office Supplies","C1014","309.5","55.09"
"Jul 14, 2024","West","Nevada","Technology","C1015","329.75","6.88"
"2024-07-17"," East","","","C1016","350","40.25"
"Jul 20, 2024","South","Georgia","Office Supplies","C1017","370.25","49.04"
"Jul 23, 2024","North","Ohio","Technology","C1018","390.5","59.24"
"Jul 26, 2024","Central","Nebraska","Furniture","C1019","388","65.86"
"07/29/2024","West","California","Office Supplies","C1020","408.25",
"Aug 1, 2024","East","Massachusetts","Technology","C1021","428.5","42.78"
"2024-08-04","South","Tennessee","Furniture","C1022","448.75","54.31"
"Aug 7, 2024","North","Minnesota ","Office Supplies","C1023","469","67.26"
"Aug 10, 2024","Central","Colorado","Technology","C1024","489.25","107.64"
"","West","Washington"," Furniture ","C1025","509.5","34.26"
"Aug 16, 2024","East","Florida","Office Supplies","C1026",,"45.3"
"Aug 19, 2024"," South","Louisiana","Technology","C1027","527.25","59.59"
"08/22/2024","North","Illinois","Furniture"," C1028 ","547.5","101.29"
"Aug 25, 2024","Central","Kansas","Office Supplies","C1029","567.75","118.41"
"Aug 28, 2024","West","Oregon","Technology","C1030","588",
"Aug 31, 2024","East","Virginia","Furniture","C1031","608.25","50.45"
"Sep 3, 2024","South","Texas","Office Supplies","C1032","628.5","94.28"
"Sep 6, 2024","North","Michigan","Technology","C1033","626","109.31"
"2024-09-09","Central",""," Furniture ","C1034","646.25","129.18"
"Sep 12, 2024","West","Nevada","Office Supplies","C1035","666.5","33.82"
"09/15/2024","East","New York ","Technology","C1036","686.75","78.98"
"Sep 18, 2024","South","Georgia","Furniture","C1037","707","99.55"
"Sep 21, 2024"," North","Ohio","","C1038","727.25","121.54"
"Sep 24, 2024","Central","Nebraska","Technology","C1039","747.5","144.95"
"2024-09-27","West","California","Furniture","C1040",,
"Jan 16, 2024","West","Washington","Technology","C1005","146.25","5.2"
"2024-02-24","North",""," Furniture ","C1018","364","54.34"
"Jun 26, 2024","Central","Nebraska","Technology","C1059","137.75","10.81"
"Nov 5, 2024","North","Minnesota","Office Supplies","C1008","892.25","145.57"
"2024-05-18","East","New York ","Furniture","C1061","863.5","99.3"
"Oct 3, 2024","South","Tennessee","Office Supplies","C1012","738.5","97.78"
"Mar 16, 2024","West","Washington","Technology","C1055","530","35.9"
"Sep 21, 2024"," North","Illinois","","C1023",,"125.98"
"2024-04-18","East","Florida","Furniture","C1081","753.5","73.65"
"2024-08-04","South","Tennessee","Furniture","C1022","448.75","54.31"
